date,product_id,closing_stock,stockout_flag,reorder_triggered,supplier_id,lead_time_days
01/01/2024,P001,585,0,0,S001,14
02/01/2024,P001,571,0,0,S001,14
03/01/2024,P001,557,0,0,S001,14
04/01/2024,P001,545,0,0,S001,14
05/01/2024,P001,526,0,0,S001,14
06/01/2024,P001,502,0,0,S001,14
07/01/2024,P001,477,0,0,S001,14
08/01/2024,P001,460,0,0,S001,14
09/01/2024,P001,442,0,0,S001,14
10/01/2024,P001,421,0,0,S001,14
11/01/2024,P001,408,0,0,S001,14
12/01/2024,P001,385,0,0,S001,14
13/01/2024,P001,365,0,0,S001,14
14/01/2024,P001,336,0,0,S001,14
15/01/2024,P001,319,0,0,S001,14
16/01/2024,P001,302,0,0,S001,14
17/01/2024,P001,285,0,0,S001,14
18/01/2024,P001,272,0,0,S001,14
19/01/2024,P001,265,0,0,S001,14
20/01/2024,P001,245,0,0,S001,14
21/01/2024,P001,232,0,0,S001,14
22/01/2024,P001,216,0,0,S001,14
23/01/2024,P001,208,0,0,S001,14
24/01/2024,P001,199,0,0,S001,14
25/01/2024,P001,183,0,0,S001,14
26/01/2024,P001,161,0,0,S001,14
27/01/2024,P001,140,0,0,S001,14
28/01/2024,P001,120,0,0,S001,14
29/01/2024,P001,101,0,0,S001,14
30/01/2024,P001,81,0,0,S001,14
31/01/2024,P001,68,0,0,S001,14
01/02/2024,P001,47,0,0,S001,14
02/02/2024,P001,24,0,0,S001,14
03/02/2024,P001,4,0,0,S001,14
04/02/2024,P001,0,1,0,S001,14
05/02/2024,P001,0,1,0,S001,14
06/02/2024,P001,0,1,0,S001,14
07/02/2024,P001,0,1,0,S001,14
08/02/2024,P001,0,1,0,S001,14
09/02/2024,P001,0,1,0,S001,14
10/02/2024,P001,368,0,0,S001,14
11/02/2024,P001,339,0,0,S001,14
12/02/2024,P001,319,0,0,S001,14
13/02/2024,P001,299,0,0,S001,14
14/02/2024,P001,280,0,0,S001,14
15/02/2024,P001,261,0,0,S001,14
16/02/2024,P001,247,0,0,S001,14
17/02/2024,P001,224,0,0,S001,14
18/02/2024,P001,207,0,0,S001,14
19/02/2024,P001,193,0,0,S001,14
20/02/2024,P001,165,0,0,S001,14
21/02/2024,P001,139,0,0,S001,14
22/02/2024,P001,113,0,0,S001,14
23/02/2024,P001,98,0,0,S001,14
24/02/2024,P001,76,0,0,S001,14
25/02/2024,P001,47,0,0,S001,14
26/02/2024,P001,21,0,0,S001,14
27/02/2024,P001,0,1,0,S001,14
28/02/2024,P001,0,1,0,S001,14
29/02/2024,P001,0,1,0,S001,14
01/03/2024,P001,0,1,0,S001,14
02/03/2024,P001,0,1,0,S001,14
