date,product_id,closing_stock,stockout_flag,supplier_id
2024-01-01,P001,585,0,S001
2024-01-02,P001,571,0,S001
2024-01-03,P001,557,0,S001
2024-01-04,P001,545,0,S001
2024-01-05,P001,526,0,S001
2024-01-06,P001,502,0,S001
2024-01-07,P001,477,0,S001
2024-01-08,P001,460,0,S001
2024-01-09,P001,442,0,S001
2024-01-10,P001,421,0,S001
2024-01-11,P001,408,0,S001
2024-01-12,P001,385,0,S001
2024-01-13,P001,365,0,S001
2024-01-14,P001,336,0,S001
2024-01-15,P001,319,0,S001
2024-01-16,P001,302,0,S001
2024-01-17,P001,285,0,S001
2024-01-18,P001,272,0,S001
2024-01-19,P001,265,0,S001
2024-01-20,P001,245,0,S001
2024-01-21,P001,232,0,S001
2024-01-22,P001,216,0,S001
2024-01-23,P001,208,0,S001
2024-01-24,P001,199,0,S001
2024-01-25,P001,183,0,S001
2024-01-26,P001,161,0,S001
2024-01-27,P001,140,0,S001
2024-01-28,P001,120,0,S001
2024-01-29,P001,101,0,S001
2024-01-30,P001,81,0,S001
2024-01-31,P001,68,0,S001
2024-02-01,P001,47,0,S001
2024-02-02,P001,24,0,S001
2024-02-03,P001,4,0,S001
2024-02-04,P001,0,1,S001
2024-02-05,P001,0,1,S001
2024-02-06,P001,0,1,S001
2024-02-07,P001,0,1,S001
2024-02-08,P001,0,1,S001
2024-02-09,P001,0,1,S001
2024-02-10,P001,368,0,S001
2024-02-11,P001,339,0,S001
2024-02-12,P001,319,0,S001
2024-02-13,P001,299,0,S001
2024-02-14,P001,280,0,S001
2024-02-15,P001,261,0,S001
2024-02-16,P001,247,0,S001
2024-02-17,P001,224,0,S001
2024-02-18,P001,207,0,S001
2024-02-19,P001,193,0,S001
2024-02-20,P001,165,0,S001
2024-02-21,P001,139,0,S001
2024-02-22,P001,113,0,S001
2024-02-23,P001,98,0,S001
2024-02-24,P001,76,0,S001
2024-02-25,P001,47,0,S001
2024-02-26,P001,21,0,S001
2024-02-27,P001,0,1,S001
2024-02-28,P001,0,1,S001
2024-02-29,P001,0,1,S001
2024-03-01,P001,0,1,S001
2024-03-02,P001,0,1,S001
2024-03-03,P001,0,1,S001
2024-03-04,P001,0,1,S001
2024-03-05,P001,0,1,S001
2024-03-06,P001,382,0,S001
2024-03-07,P001,357,0,S001
2024-03-08,P001,334,0,S001
2024-03-09,P001,305,0,S001
2024-03-10,P001,277,0,S001
2024-03-11,P001,259,0,S001
2024-03-12,P001,240,0,S001
2024-03-13,P001,210,0,S001
2024-03-14,P001,194,0,S001
2024-03-15,P001,177,0,S001
2024-03-16,P001,148,0,S001
2024-03-17,P001,125,0,S001
2024-03-18,P001,102,0,S001
2024-03-19,P001,78,0,S001
2024-03-20,P001,63,0,S001
2024-03-21,P001,39,0,S001
2024-03-22,P001,19,0,S001
2024-03-23,P001,0,1,S001
2024-03-24,P001,0,1,S001
2024-03-25,P001,0,1,S001
2024-03-26,P001,0,1,S001
2024-03-27,P001,0,1,S001
2024-03-28,P001,0,1,S001
2024-03-29,P001,0,1,S001
2024-03-30,P001,368,0,S001
2024-03-31,P001,337,0,S001
2024-04-01,P001,316,0,S001
2024-04-02,P001,292,0,S001
2024-04-03,P001,261,0,S001
2024-04-04,P001,230,0,S001
2024-04-05,P001,205,0,S001
2024-04-06,P001,183,0,S001
2024-04-07,P001,159,0,S001
2024-04-08,P001,144,0,S001
2024-04-09,P001,115,0,S001
2024-04-10,P001,99,0,S001
2024-04-11,P001,77,0,S001
2024-04-12,P001,58,0,S001
2024-04-13,P001,21,0,S001
2024-04-14,P001,1,0,S001
2024-04-15,P001,0,1,S001
2024-04-16,P001,0,1,S001
2024-04-17,P001,0,1,S001
2024-04-18,P001,0,1,S001
2024-04-19,P001,0,1,S001
2024-04-20,P001,0,1,S001
2024-04-21,P001,0,1,S001
2024-04-22,P001,380,0,S001
2024-04-23,P001,360,0,S001
2024-04-24,P001,333,0,S001
2024-04-25,P001,317,0,S001
2024-04-26,P001,291,0,S001
2024-04-27,P001,280,0,S001
2024-04-28,P001,245,0,S001
2024-04-29,P001,220,0,S001
2024-04-30,P001,202,0,S001
2024-05-01,P001,180,0,S001
2024-05-02,P001,155,0,S001
2024-05-03,P001,131,0,S001
2024-05-04,P001,101,0,S001
2024-05-05,P001,72,0,S001
2024-05-06,P001,43,0,S001
2024-05-07,P001,18,0,S001
2024-05-08,P001,0,1,S001
2024-05-09,P001,0,1,S001
2024-05-10,P001,0,1,S001
2024-05-11,P001,0,1,S001
2024-05-12,P001,0,1,S001
2024-05-13,P001,0,1,S001
2024-05-14,P001,0,1,S001
2024-05-15,P001,0,1,S001
2024-05-16,P001,0,1,S001
2024-05-17,P001,369,0,S001
2024-05-18,P001,338,0,S001
2024-05-19,P001,301,0,S001
2024-05-20,P001,273,0,S001
2024-05-21,P001,251,0,S001
2024-05-22,P001,228,0,S001
2024-05-23,P001,207,0,S001
2024-05-24,P001,184,0,S001
2024-05-25,P001,152,0,S001
2024-05-26,P001,123,0,S001
2024-05-27,P001,102,0,S001
2024-05-28,P001,81,0,S001
2024-05-29,P001,59,0,S001
2024-05-30,P001,30,0,S001
2024-05-31,P001,6,0,S001
2024-06-01,P001,0,1,S001
2024-06-02,P001,0,1,S001
2024-06-03,P001,0,1,S001
2024-06-04,P001,0,1,S001
2024-06-05,P001,0,1,S001
2024-06-06,P001,0,1,S001
2024-06-07,P001,0,1,S001
2024-06-08,P001,0,1,S001
2024-06-09,P001,362,0,S001
2024-06-10,P001,330,0,S001
2024-06-11,P001,311,0,S001
2024-06-12,P001,280,0,S001
2024-06-13,P001,256,0,S001
2024-06-14,P001,234,0,S001
2024-06-15,P001,205,0,S001
2024-06-16,P001,170,0,S001
2024-06-17,P001,140,0,S001
2024-06-18,P001,125,0,S001
2024-06-19,P001,107,0,S001
2024-06-20,P001,68,0,S001
2024-06-21,P001,40,0,S001
2024-06-22,P001,9,0,S001
2024-06-23,P001,0,1,S001
2024-06-24,P001,0,1,S001
2024-06-25,P001,0,1,S001
2024-06-26,P001,0,1,S001
2024-06-27,P001,0,1,S001
2024-06-28,P001,0,1,S001
2024-06-29,P001,0,1,S001
2024-06-30,P001,0,1,S001
2024-07-01,P001,361,0,S001
2024-07-02,P001,336,0,S001
2024-07-03,P001,315,0,S001
2024-07-04,P001,295,0,S001
2024-07-05,P001,263,0,S001
2024-07-06,P001,216,0,S001
2024-07-07,P001,172,0,S001
2024-07-08,P001,141,0,S001
2024-07-09,P001,120,0,S001
2024-07-10,P001,88,0,S001
2024-07-11,P001,75,0,S001
2024-07-12,P001,34,0,S001
2024-07-13,P001,6,0,S001
2024-07-14,P001,0,1,S001
2024-07-15,P001,0,1,S001
2024-07-16,P001,0,1,S001
2024-07-17,P001,0,1,S001
2024-07-18,P001,0,1,S001
2024-07-19,P001,0,1,S001
2024-07-20,P001,0,1,S001
2024-07-21,P001,0,1,S001
2024-07-22,P001,381,0,S001
2024-07-23,P001,351,0,S001
2024-07-24,P001,334,0,S001
2024-07-25,P001,294,0,S001
2024-07-26,P001,257,0,S001
2024-07-27,P001,208,0,S001
2024-07-28,P001,175,0,S001
2024-07-29,P001,153,0,S001
2024-07-30,P001,123,0,S001
2024-07-31,P001,94,0,S001
2024-08-01,P001,69,0,S001
2024-08-02,P001,50,0,S001
2024-08-03,P001,17,0,S001
2024-08-04,P001,0,1,S001
2024-08-05,P001,0,1,S001
2024-08-06,P001,0,1,S001
2024-08-07,P001,0,1,S001
2024-08-08,P001,0,1,S001
2024-08-09,P001,0,1,S001
2024-08-10,P001,0,1,S001
2024-08-11,P001,0,1,S001
2024-08-12,P001,0,1,S001
2024-08-13,P001,384,0,S001
2024-08-14,P001,368,0,S001
2024-08-15,P001,339,0,S001
2024-08-16,P001,310,0,S001
2024-08-17,P001,287,0,S001
2024-08-18,P001,258,0,S001
2024-08-19,P001,238,0,S001
2024-08-20,P001,212,0,S001
2024-08-21,P001,186,0,S001
2024-08-22,P001,160,0,S001
2024-08-23,P001,136,0,S001
2024-08-24,P001,101,0,S001
2024-08-25,P001,65,0,S001
2024-08-26,P001,37,0,S001
2024-08-27,P001,11,0,S001
2024-08-28,P001,0,1,S001
2024-08-29,P001,0,1,S001
2024-08-30,P001,0,1,S001
2024-08-31,P001,0,1,S001
2024-09-01,P001,0,1,S001
2024-09-02,P001,0,1,S001
2024-09-03,P001,0,1,S001
2024-09-04,P001,0,1,S001
2024-09-05,P001,0,1,S001
2024-09-06,P001,376,0,S001
2024-09-07,P001,342,0,S001
2024-09-08,P001,306,0,S001
2024-09-09,P001,286,0,S001
2024-09-10,P001,265,0,S001
2024-09-11,P001,248,0,S001
2024-09-12,P001,232,0,S001
2024-09-13,P001,212,0,S001
2024-09-14,P001,188,0,S001
2024-09-15,P001,156,0,S001
2024-09-16,P001,125,0,S001
2024-09-17,P001,103,0,S001
2024-09-18,P001,82,0,S001
2024-09-19,P001,55,0,S001
2024-09-20,P001,40,0,S001
2024-09-21,P001,3,0,S001
2024-09-22,P001,0,1,S001
2024-09-23,P001,0,1,S001
2024-09-24,P001,0,1,S001
2024-09-25,P001,0,1,S001
2024-09-26,P001,0,1,S001
2024-09-27,P001,0,1,S001
2024-09-28,P001,0,1,S001
2024-09-29,P001,0,1,S001
2024-09-30,P001,373,0,S001
2024-10-01,P001,353,0,S001
