date,product_id,units_sold,revenue,cogs,gross_profit
2024-01-01,P001,15,1349.85,675.0,674.85
2024-01-01,P002,16,479.84,192.0,287.84
2024-01-01,P003,17,339.83,136.0,203.83
2024-01-01,P004,12,719.88,360.0,359.88
2024-01-01,P005,5,649.95,275.0,374.95
2024-01-02,P001,14,1259.86,630.0,629.86
2024-01-02,P002,13,389.87,156.0,233.87
2024-01-02,P003,24,479.76,192.0,287.76
2024-01-02,P004,9,539.91,270.0,269.91
2024-01-02,P005,7,909.93,385.0,524.93
2024-01-03,P001,14,1259.86,630.0,629.86
2024-01-03,P002,16,479.84,192.0,287.84
2024-01-03,P003,16,319.84,128.0,191.84
2024-01-03,P004,9,539.91,270.0,269.91
2024-01-03,P005,10,1299.9,550.0,749.9
2024-01-04,P001,12,1079.88,540.0,539.88
2024-01-04,P002,11,329.89,132.0,197.89
2024-01-04,P003,19,379.81,152.0,227.81
2024-01-04,P004,10,599.9,300.0,299.9
2024-01-04,P005,7,909.93,385.0,524.93
2024-01-05,P001,19,1709.81,855.0,854.81
2024-01-05,P002,7,209.93,84.0,125.93
2024-01-05,P003,16,319.84,128.0,191.84
2024-01-05,P004,12,719.88,360.0,359.88
2024-01-05,P005,7,909.93,385.0,524.93
2024-01-06,P001,24,2159.76,1080.0,1079.76
2024-01-06,P002,18,539.82,216.0,323.82
2024-01-06,P003,29,579.71,232.0,347.71
2024-01-06,P004,14,839.86,420.0,419.86
2024-01-06,P005,7,909.93,385.0,524.93
2024-01-07,P001,25,2249.75,1125.0,1124.75
2024-01-07,P002,10,299.9,120.0,179.9
2024-01-07,P003,35,699.65,280.0,419.65
2024-01-07,P004,11,659.89,330.0,329.89
2024-01-07,P005,9,1169.91,495.0,674.91
2024-01-08,P001,17,1529.83,765.0,764.83
2024-01-08,P002,10,299.9,120.0,179.9
2024-01-08,P003,20,399.8,160.0,239.8
2024-01-08,P004,13,779.87,390.0,389.87
2024-01-08,P005,6,779.94,330.0,449.94
2024-01-09,P001,18,1619.82,810.0,809.82
2024-01-09,P002,5,149.95,60.0,89.95
2024-01-09,P003,30,599.7,240.0,359.7
2024-01-09,P004,7,419.93,210.0,209.93
2024-01-09,P005,10,1299.9,550.0,749.9
2024-01-10,P001,21,1889.79,945.0,944.79
2024-01-10,P002,10,299.9,120.0,179.9
